"CAMIS","Total","Critical","Not Critical","Not Applicable"
"30075445","12","5","7","0"
"30112340","9","5","4","0"
"30191841","5","2","3","0"
"40356018","4","2","2","0"
"40356483","11","5","6","0"
"40356731","7","2","5","0"
"40357217","4","2","2","0"
"40359480","6","2","4","0"
"40359705","8","2","6","0"
"40360045","5","2","3","0"
"40360076","8","2","6","0"
"40361618","7","4","3","0"
"40361998","3","2","1","0"
"40362264","7","3","4","0"
"40362274","7","5","2","0"
"40362432","5","2","3","0"
"40362869","4","4","0","0"
"40363298","11","5","6","0"
"40363427","17","9","8","0"
"40363565","16","6","10","0"
"40363834","12","5","7","0"
"40363920","3","1","2","0"
"40364179","31","16","14","1"
"40364220","8","3","5","0"
"40364296","23","12","9","2"
"40364305","8","3","5","0"
"40364335","5","3","2","0"
"40364347","6","3","3","0"
"40364362","18","12","6","0"
"40364373","9","4","5","0"
"40364389","15","8","7","0"
"40364404","9","5","4","0"
"40364439","12","7","4","1"
"40364443","19","7","12","0"
"40364449","4","2","2","0"
"40364467","15","8","7","0"
"40364518","7","4","3","0"
"40364531","12","5","7","0"
"40364572","7","3","4","0"
"40364581","19","4","15","0"
"40364668","26","13","13","0"
"40364715","30","13","16","1"
"40364744","12","6","6","0"
"40364858","8","2","6","0"
"40364956","5","4","1","0"
"40365013","4","4","0","0"
"40365075","10","2","8","0"
"40365120","2","1","1","0"
"40365166","18","6","12","0"
"40365226","14","6","8","0"
"40365239","11","5","6","0"
"40365264","14","7","7","0"
"40365288","14","5","9","0"
"40365387","3","2","1","0"
"40365499","22","13","9","0"
"40365525","21","11","10","0"
"40365546","26","13","13","0"
"40365577","22","13","9","0"
"40365627","15","9","6","0"
"40365632","8","3","5","0"
"40365644","5","0","4","1"
"40365726","4","1","3","0"
"40365784","17","10","7","0"
"40365789","8","4","4","0"
"40365841","6","2","4","0"
"40365844","4","3","1","0"
"40365871","5","3","2","0"
"40365882","6","4","1","1"
"40365904","48","26","22","0"
"40365938","27","13","14","0"
"40365942","17","9","7","1"
"40365968","6","4","2","0"
"40365972","5","2","3","0"
"40366002","11","6","5","0"
"40366054","4","4","0","0"
"40366109","4","3","1","0"
"40366132","5","4","1","0"
"40366154","9","5","4","0"
"40366222","8","4","4","0"
"40366230","12","7","5","0"
"40366356","7","5","2","0"
"40366471","2","1","1","0"
"40366473","1","0","1","0"
"40366487","7","3","4","0"
"40366497","11","5","6","0"
"40366543","29","18","11","0"
"40366574","5","1","4","0"
"40366586","14","8","6","0"
"40366652","9","2","7","0"
"40366661","28","14","14","0"
"40366711","17","9","8","0"
"40366716","17","10","7","0"
"40366742","14","7","7","0"
"40366812","22","13","9","0"
"40366879","7","6","1","0"
"40366928","3","1","2","0"
"40366938","24","15","9","0"
"40366961","6","2","4","0"
"40367005","12","6","6","0"
"40367038","19","8","11","0"
"40367161","3","2","1","0"
"40367179","9","5","4","0"
"40367189","11","6","5","0"
"40367232","10","4","6","0"
"40367240","8","2","6","0"
"40367241","7","4","3","0"
"40367338","9","3","6","0"
"40367339","2","1","0","1"
"40367365","9","2","7","0"
"40367373","9","4","5","0"
"40367377","25","16","9","0"
"40367442","11","5","6","0"
"40367534","31","13","17","1"
"40367728","4","3","1","0"
"40367749","10","5","5","0"
"40367752","17","7","10","0"
"40367789","4","3","1","0"
"40367790","13","4","9","0"
"40367841","10","5","5","0"
"40367860","13","7","6","0"
"40367870","10","5","5","0"
"40368018","4","2","2","0"
"40368021","2","0","2","0"
"40368022","4","2","2","0"
"40368025","2","1","1","0"
"40368026","3","2","1","0"
"40368034","5","2","3","0"
"40368157","5","2","3","0"
"40368207","8","4","4","0"
"40368223","5","2","3","0"
"40368271","14","7","7","0"
"40368291","11","4","7","0"
"40368313","6","3","3","0"
"40368318","6","3","3","0"
"40368338","8","2","6","0"
"40368374","8","6","2","0"
"40368526","5","1","4","0"
"40368555","24","10","13","1"
"40368577","17","7","10","0"
"40368581","5","3","2","0"
"40368632","12","4","8","0"
"40368725","11","6","5","0"
"40368752","7","2","5","0"
"40368763","5","1","4","0"
"40368801","14","6","8","0"
"40368809","11","6","5","0"
"40368824","4","2","2","0"
"40368897","7","2","5","0"
"40369012","8","4","4","0"
"40369016","19","8","11","0"
"40369051","5","1","4","0"
"40369087","36","20","16","0"
"40369158","5","2","3","0"
"40369165","9","6","3","0"
"40369213","24","14","10","0"
"40369262","9","4","5","0"
"40369299","20","9","11","0"
"40369418","6","3","3","0"
"40369461","15","9","6","0"
"40369482","11","6","5","0"
"40369521","5","1","4","0"
"40369608","7","5","2","0"
"40369619","5","4","1","0"
"40369641","5","2","3","0"
"40369667","7","3","4","0"
"40369669","4","1","3","0"
"40369675","7","2","5","0"
"40369716","4","2","2","0"
"40369782","4","2","2","0"
"40369849","10","6","4","0"
"40369878","20","11","9","0"
"40369940","11","5","6","0"
"40369958","6","1","5","0"
"40369983","7","1","6","0"
"40370015","6","2","4","0"
"40370150","10","7","3","0"
"40370167","9","2","7","0"
"40370168","6","3","3","0"
"40370238","13","5","8","0"
"40370436","23","10","13","0"
"40370463","18","6","12","0"
"40370507","15","10","5","0"
"40370766","14","7","7","0"
"40370781","9","5","4","0"
"40370856","9","2","7","0"
"40370939","5","1","4","0"
"40371454","15","6","9","0"
"40371614","22","13","9","0"
"40371684","3","3","0","0"
"40371718","3","1","2","0"
"40371727","16","9","7","0"
"40371805","6","3","3","0"
"40371906","2","2","0","0"
"40371988","17","12","5","0"
"40372112","7","2","5","0"
"40372196","11","4","7","0"
"40372262","6","2","4","0"
"40372357","19","15","4","0"
"40372417","4","3","1","0"
"40372422","7","0","7","0"
"40372426","25","13","12","0"
"40372445","32","15","17","0"
"40372466","10","6","4","0"
"40372485","4","1","3","0"
"40372596","8","2","6","0"
"40372618","11","4","7","0"
"40372631","17","8","8","1"
"40372694","6","2","4","0"
"40372971","14","7","6","1"
"40373113","13","6","7","0"
"40373118","7","2","5","0"
"40373160","6","1","5","0"
"40373462","4","4","0","0"
"40373500","7","4","3","0"
"40373597","10","3","7","0"
"40373656","16","8","8","0"
"40373669","5","3","2","0"
"40373794","6","2","4","0"
"40373888","10","4","6","0"
"40373909","6","2","4","0"
"40373912","4","3","1","0"
"40373937","19","7","12","0"
"40374088","16","9","7","0"
"40374136","4","2","2","0"
"40374192","8","5","2","1"
"40374266","2","1","1","0"
"40374277","9","3","6","0"
"40374395","5","2","3","0"
"40374415","23","13","10","0"
"40374711","4","1","3","0"
